index,subject,question,answer,a,b,c,d
1,hindi,हिंदी दिवस कब मनाया जाता है?,b,10 जनवरी,14 सितम्बर,21 फरवरी,5 जून
2,hindi,'रामचरितमानस' के रचयिता कौन हैं?,a,तुलसीदास,कबीरदास,सूरदास,मीराबाई
3,hindi,हिंदी की लिपि का नाम क्या है?,c,ब्राह्मी,खरोष्ठी,देवनागरी,शारदा
4,hindi,'गोदान' उपन्यास के लेखक कौन हैं?,b,जयशंकर प्रसाद,मुंशी प्रेमचंद,भीष्म साहनी,हजारीप्रसाद द्विवेदी
5,hindi,हिंदी की पहली कविता किसे माना जाता है?,a,देवनागरी शिलालेख (अजमेर),रामायण,महाभारत,वेद
6,hindi,'साकेत' महाकाव्य के रचयिता कौन हैं?,c,सुमित्रानंदन पंत,जयशंकर प्रसाद,मैथिलीशरण गुप्त,निराला
7,hindi,'दोहा' कितने चरणों की रचना है?,b,एक,दो,चार,छह
8,hindi,'कामायनी' के रचयिता कौन हैं?,a,जयशंकर प्रसाद,मैथिलीशरण गुप्त,सुमित्रानंदन पंत,हरिवंशराय बच्चन
9,hindi,छायावाद के प्रमुख कवि कौन हैं?,d,कबीर,तुलसी,सूर,पंत, प्रसाद, निराला, महादेवी
10,hindi,'मधुशाला' के रचयिता कौन हैं?,c,सुमित्रानंदन पंत,जयशंकर प्रसाद,हरिवंशराय बच्चन,दिनकर
11,hindi,हिंदी वर्णमाला में स्वरों की संख्या कितनी है?,b,10,11,12,13
12,hindi,'नमक का दारोगा' कहानी के लेखक कौन हैं?,a,मुंशी प्रेमचंद,भीष्म साहनी,फणीश्वरनाथ रेणु,मोहन राकेश
13,hindi,भक्तिकाल को हिंदी का स्वर्ण युग किसने कहा?,b,रामचंद्र शुक्ल,जार्ज ग्रियर्सन,हजारीप्रसाद द्विवेदी,महावीर प्रसाद द्विवेदी
14,hindi,'पंचतंत्र' के रचयिता कौन हैं?,c,वाल्मीकि,वेदव्यास,विष्णु शर्मा,कालिदास
15,hindi,हिंदी का पहला उपन्यास कौन सा है?,a,परीक्षागुरु (लाला श्रीनिवास दास),गोदान,निर्मला,गबन
16,hindi,'रस' के कितने प्रकार होते हैं?,b,8,9,10,11
17,hindi,'राष्ट्रकवि' की उपाधि किसे दी गई है?,c,सुमित्रानंदन पंत,हरिवंशराय बच्चन,मैथिलीशरण गुप्त,जयशंकर प्रसाद
18,hindi,कबीर किस शाखा के कवि हैं?,a,ज्ञानाश्रयी,प्रेमाश्रयी,रामाश्रयी,कृष्णाश्रयी
19,hindi,'अंधेर नगरी' नाटक के लेखक कौन हैं?,b,मोहन राकेश,भारतेंदु हरिश्चंद्र,जयशंकर प्रसाद,रामवृक्ष बेनीपुरी
20,hindi,हिंदी में संज्ञा के कितने भेद होते हैं?,c,3,4,5,6
21,hindi,'पृथ्वीराज रासो' के रचयिता कौन हैं?,a,चंदबरदाई,सूरदास,तुलसीदास,मीराबाई
22,hindi,संधि के कितने भेद होते हैं?,b,2,3,4,5
23,hindi,'निराला' का पूरा नाम क्या था?,c,राम प्रसाद मिश्र,राम नाथ त्रिपाठी,सूर्यकांत त्रिपाठी,राम दास वर्मा
24,hindi,हिंदी में क्रिया के कितने भेद होते हैं?,a,2 (सकर्मक, अकर्मक),3,4,5
25,hindi,'उर्वशी' काव्य के लिए किसे ज्ञानपीठ पुरस्कार मिला?,b,सुमित्रानंदन पंत,रामधारी सिंह दिनकर,हरिवंशराय बच्चन,महादेवी वर्मा
26,geography,विश्व का सबसे बड़ा महाद्वीप कौन सा है?,a,एशिया,अफ्रीका,यूरोप,उत्तरी अमेरिका
27,geography,भारत का सबसे बड़ा राज्य (क्षेत्रफल) कौन सा है?,b,मध्य प्रदेश,राजस्थान,महाराष्ट्र,उत्तर प्रदेश
28,geography,विश्व का सबसे लंबा नदी कौन सी है?,a,नील नदी,अमेजन,यांग्त्जी,मिसिसिपी
29,geography,भारत की सबसे लंबी नदी कौन सी है?,c,यमुना,ब्रह्मपुत्र,गंगा,गोदावरी
30,geography,विश्व का सबसे ऊंचा पर्वत शिखर कौन सा है?,b,K2,माउंट एवरेस्ट,कंचनजंगा,मकालू
31,geography,भारत का सबसे बड़ा जिला (क्षेत्रफल) कौन सा है?,a,कच्छ (गुजरात),जैसलमेर,लेह,बाड़मेर
32,geography,सुंदरवन डेल्टा किस नदी का डेल्टा है?,c,गोदावरी,महानदी,गंगा-ब्रह्मपुत्र,कृष्णा
33,geography,भारत में सबसे अधिक वर्षा कहाँ होती है?,b,मुंबई,चेरापूंजी (मेघालय),कोलकाता,मनाली
34,geography,भारत और पाकिस्तान के बीच की रेखा को क्या कहते हैं?,a,रेडक्लिफ रेखा,डूरंड रेखा,मैकमोहन रेखा,नियंत्रण रेखा
35,geography,भारत की सबसे बड़ी मीठे पानी की झील कौन सी है?,d,डल झील,नैनीताल,लोकताक झील,वुलर झील
36,geography,कर्क रेखा भारत के कितने राज्यों से गुजरती है?,b,7,8,9,10
37,geography,विश्व का सबसे बड़ा मरुस्थल कौन सा है?,a,सहारा (अफ्रीका),अरेबियन,गोबी,थार
