index,subject,question,answer,a,b,c,d
1,math,π (पाई) का लगभग मान क्या है?,b,3.14159,3.14159 (22/7),3.41159,3.14195
2,math,त्रिभुज के तीनों कोणों का योग कितना होता है?,a,180°,360°,90°,270°
3,math,किसी वृत्त का क्षेत्रफल क्या होता है?,c,2πr,πr,πr²,4πr²
4,math,0 का factorial क्या होता है?,b,0,1,∞,अपरिभाषित
5,math,2⁰ का मान क्या है?,a,1,0,2,∞
6,math,किसी घन का आयतन क्या होता है?,c,6a²,4a³,a³,3a²
7,math,√144 का मान क्या है?,b,11,12,13,14
8,math,LCM और HCF का गुणनफल किसके बराबर होता है?,a,दोनों संख्याओं के गुणनफल के,दोनों संख्याओं के योग के,दोनों संख्याओं के अंतर के,कोई संबंध नहीं
9,math,sin 90° का मान क्या है?,d,0,√3/2,1/2,1
10,math,cos 0° का मान क्या है?,a,1,0,-1,∞
11,math,एक समकोण त्रिभुज में कर्ण² = ?,b,लंब + आधार,लंब² + आधार²,लंब × आधार,2(लंब + आधार)
12,math,10 का वर्गमूल क्या है?,c,3,3.16,3.162,3.2
13,math,किसी संख्या का 25% मतलब क्या है?,a,उसका 1/4 भाग,उसका 1/2 भाग,उसका 1/5 भाग,उसका 2/5 भाग
14,math,AP की n वीं संख्या का सूत्र क्या है?,b,a + n·d,a + (n-1)d,a × (n-1)d,a - (n-1)d
15,math,1 + 2 + 3 + ... + n का योग क्या होता है?,c,n(n+1),n²/2,n(n+1)/2,n(n-1)/2
16,math,किसी संख्या और उसके व्युत्क्रम का गुणनफल क्या होता है?,a,1,0,संख्या,2
17,math,log₁₀(100) का मान क्या है?,b,1,2,10,100
18,math,एक वर्ग का परिमाप क्या होता है?,c,a²,2a,4a,6a
19,math,tan 45° का मान क्या है?,a,1,0,√3,1/√3
20,math,एक समांतर चतुर्भुज का क्षेत्रफल क्या होता है?,b,a × b,आधार × ऊंचाई,(a + b) × h,½ × आधार × ऊंचाई
21,math,प्राकृतिक संख्याओं में सबसे छोटी संख्या कौन सी है?,a,1,0,-1,2
22,math,किसी त्रिभुज का क्षेत्रफल क्या होता है?,c,आधार × ऊंचाई,2 × आधार × ऊंचाई,½ × आधार × ऊंचाई,आधार + ऊंचाई
