Index,Question,Ans,a,b,c,d,
1,भारत की राजधानी क्या है?,d,मुंबई,कोलकाता,चेन्नई,नई दिल्ली,
2,भारत का राष्ट्रीय पक्षी क्या है?,c,मोर,कबूतर,गरुड़,बाज,
3,भारत का राष्ट्रीय फूल क्या है?,b,गुलाब,कमल,सूरजमुखी,चंपा,
4,भारत का राष्ट्रीय गीत किसने लिखा?,b,रबींद्रनाथ टैगोर,बंकिम चंद्र चटर्जी,सुरेंद्रनाथ बनर्जी,प्रेमचंद,
5,भारत की स्वतंत्रता कब मिली?,b,1945,1947,1950,1952,
6,भारत का पहला प्रधानमंत्री कौन था?,a,जवाहरलाल नेहरू,सरदार पटेल,डॉ. राजेंद्र प्रसाद,महात्मा गांधी,
7,भारत का राष्ट्रपति कितने वर्षों के लिए चुना जाता है?,b,3 वर्ष,5 वर्ष,6 वर्ष,4 वर्ष,
8,भारतीय रुपये का प्रतीक क्या है?,c,$,€,₹,£,
9,ताजमहल किस शहर में स्थित है?,a,आगरा,दिल्ली,लखनऊ,जयपुर,
10,भारत का सबसे बड़ा राज्य कौन सा है?,c,मध्य प्रदेश,राजस्थान,महाराष्ट्र,उत्तर प्रदेश,
11,भारत की जनसंख्या कितनी है?,c,100 करोड़,120 करोड़,140 करोड़,160 करोड़,
12,भारत का सबसे लंबा नदी कौन सी है?,a,गंगा,यमुना,ब्रह्मपुत्र,गोदावरी,
13,हिमालय की सबसे ऊंची चोटी कौन सी है?,b,के2,कंचनजंगा,माउंट एवरेस्ट,नंदा देवी,
14,भारत का राष्ट्रीय खेल क्या है?,a,हॉकी,क्रिकेट,फुटबॉल,टेनिस,
15,भारत की सबसे बड़ी मस्जिद कौन सी है?,c,जामा मस्जिद,मोती मस्जिद,बादशाही मस्जिद,चार मीनार,
16,भारत का सबसे बड़ा बांध कौन सा है?,b,भाखरा नांगल,हिराकुड,तेहरी,नर्मदा,
17,भारत का सबसे बड़ा रेलवे स्टेशन कौन सा है?,a,हावड़ा,नई दिल्ली,मुंबई सेंट्रल,चेन्नई सेंट्रल,
