index,subject,question,answer,a,b,c,d
1,gk,भारत का राष्ट्रीय खेल क्या है?,a,हॉकी,क्रिकेट,कबड्डी,बैडमिंटन
2,gk,संयुक्त राष्ट्र की स्थापना कब हुई?,b,1944,1945,1946,1947
3,gk,विश्व स्वास्थ्य दिवस कब मनाया जाता है?,c,7 मार्च,7 जून,7 अप्रैल,7 मई
4,gk,ओलंपिक खेल पहली बार कब आयोजित हुए?,a,1896,1900,1904,1908
5,gk,नोबेल पुरस्कार पाने वाले पहले भारतीय कौन थे?,b,महात्मा गांधी,रबींद्रनाथ टैगोर,सी. वी. रमन,अमर्त्य सेन
6,gk,भारत का राष्ट्रीय पशु क्या है?,c,शेर,हाथी,बाघ,गाय
7,gk,भारत का राष्ट्रीय पक्षी क्या है?,a,मोर,तोता,हंस,गरुड़
8,gk,FIFA विश्व कप कितने वर्षों में एक बार होता है?,b,2 वर्ष,4 वर्ष,3 वर्ष,5 वर्ष
9,gk,ICC Cricket World Cup 2023 किसने जीता?,d,पाकिस्तान,इंग्लैंड,ऑस्ट्रेलिया,भारत
10,gk,भारत का सर्वोच्च नागरिक सम्मान कौन सा है?,a,भारत रत्न,पद्म विभूषण,परमवीर चक्र,अशोक चक्र
11,gk,भारत में गणतंत्र दिवस कब मनाया जाता है?,b,15 अगस्त,26 जनवरी,2 अक्टूबर,14 नवम्बर
12,gk,विश्व का सबसे अमीर व्यक्ति (2024) कौन है?,c,जेफ बेज़ोस,वॉरेन बफेट,एलन मस्क,बिल गेट्स
13,gk,Google की स्थापना किसने की?,a,लैरी पेज और सर्गेई ब्रिन,मार्क जकरबर्ग,स्टीव जॉब्स,बिल गेट्स
14,gk,भारत के वर्तमान प्रधानमंत्री कौन हैं?,b,राहुल गांधी,नरेंद्र मोदी,अमित शाह,योगी आदित्यनाथ
15,gk,चंद्रयान-3 का लैंडर का नाम क्या था?,c,आर्यभट्ट,प्रज्ञान,विक्रम,शक्ति
16,gk,भारत का सबसे ऊंचा युद्ध क्षेत्र कौन सा है?,a,सियाचिन ग्लेशियर,लद्दाख,कारगिल,अक्साई चिन
17,gk,ISRO का पूरा नाम क्या है?,b,Indian Space Research Organization,Indian Space Research Organisation,International Space Research Org,Indian Satellite Research Org
18,gk,भारत की संसद में कितने सदन हैं?,b,एक,दो,तीन,चार
19,gk,विश्व का सबसे बड़ा लोकतंत्र कौन सा है?,a,भारत,अमेरिका,चीन,ब्राजील
20,gk,भारत का राष्ट्रगान किसने लिखा?,c,बंकिम चंद्र,महात्मा गांधी,रबींद्रनाथ टैगोर,जवाहरलाल नेहरू
21,gk,UPI का पूरा नाम क्या है?,a,Unified Payments Interface,Unified Payment Instrument,Universal Payment Interface,Unified Public Interface
22,gk,भारत में 'GST' कब से लागू हुआ?,b,1 जनवरी 2017,1 जुलाई 2017,1 अप्रैल 2017,15 अगस्त 2017
23,gk,मिस यूनिवर्स 2023 कौन बनी?,c,हर्नाज़ संधू,दिया मिर्जा,शेनिस पालेर्मो,मानुषी छिल्लर
24,gk,BRICS में 'B' किस देश को दर्शाता है?,a,ब्राजील,बांग्लादेश,ब्रिटेन,बहरीन
25,gk,भारत में RTI एक्ट कब लागू हुआ?,b,2004,2005,2006,2007
26,gk,person का जन्म कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
27,gk,organization की स्थापना किसने की?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
28,gk,award पुरस्कार किस वर्ष शुरू हुआ?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
29,gk,person का जन्म कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
30,gk,event कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
31,gk,country की मुद्रा क्या है?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
32,gk,award पुरस्कार किस वर्ष शुरू हुआ?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
33,gk,event कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
34,gk,award पुरस्कार किस वर्ष शुरू हुआ?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
35,gk,award पुरस्कार किस वर्ष शुरू हुआ?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
36,gk,event कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
37,gk,event कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
38,gk,country की मुद्रा क्या है?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
39,gk,organization की स्थापना किसने की?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
40,gk,person का जन्म कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
41,gk,organization की स्थापना किसने की?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
42,gk,person का जन्म कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
43,gk,organization की स्थापना किसने की?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
44,gk,event कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
45,gk,event कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
46,gk,event कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
47,gk,event कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
48,gk,organization की स्थापना किसने की?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
49,gk,person का जन्म कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
50,gk,country की मुद्रा क्या है?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
51,gk,country की मुद्रा क्या है?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
52,gk,person का जन्म कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
53,gk,award पुरस्कार किस वर्ष शुरू हुआ?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
54,gk,person का जन्म कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
55,gk,event कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
56,gk,award पुरस्कार किस वर्ष शुरू हुआ?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
57,gk,person का जन्म कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
58,gk,person का जन्म कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
59,gk,person का जन्म कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
60,gk,organization की स्थापना किसने की?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
61,gk,person का जन्म कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
62,gk,country की मुद्रा क्या है?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
63,gk,event कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
64,gk,award पुरस्कार किस वर्ष शुरू हुआ?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
65,gk,person का जन्म कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
66,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
67,gk,event कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
68,gk,person का जन्म कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
69,gk,organization की स्थापना किसने की?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
70,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
71,gk,person का जन्म कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
72,gk,country की मुद्रा क्या है?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
73,gk,award पुरस्कार किस वर्ष शुरू हुआ?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
74,gk,award पुरस्कार किस वर्ष शुरू हुआ?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
75,gk,event कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
76,gk,award पुरस्कार किस वर्ष शुरू हुआ?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
77,gk,country की मुद्रा क्या है?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
78,gk,event कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
79,gk,award पुरस्कार किस वर्ष शुरू हुआ?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
80,gk,event कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
81,gk,person का जन्म कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
82,gk,person का जन्म कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
83,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
84,gk,event कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
85,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
86,gk,country की मुद्रा क्या है?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
87,gk,award पुरस्कार किस वर्ष शुरू हुआ?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
88,gk,organization की स्थापना किसने की?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
89,gk,country की मुद्रा क्या है?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
90,gk,country की मुद्रा क्या है?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
91,gk,award पुरस्कार किस वर्ष शुरू हुआ?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
92,gk,person का जन्म कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
