index,subject,question,answer,a,b,c,d
1,science,मानव शरीर में कितनी हड्डियाँ होती हैं?,b,200,206,210,215
2,science,DNA का पूरा नाम क्या है?,a,Deoxyribonucleic Acid,Diribonucleic Acid,Deoxyribonicotinic Acid,Deoxyribonic Acid
3,science,पानी का रासायनिक सूत्र क्या है?,c,HO,H₃O,H₂O,H₂O₂
4,science,प्रकाश संश्लेषण में कौन सी गैस निकलती है?,b,CO₂,O₂,N₂,H₂
5,science,मानव रक्त का pH मान कितना होता है?,a,7.4,7.0,6.8,7.8
6,science,कोशिका का पावरहाउस किसे कहते हैं?,c,नाभिक,राइबोसोम,माइटोकॉन्ड्रिया,गॉल्जी बॉडी
7,science,हृदय एक मिनट में कितनी बार धड़कता है?,b,60,72,80,100
8,science,सबसे बड़ी कोशिका कौन सी है?,a,शुतुरमुर्ग का अंडा,मानव अंडाणु,अमीबा,न्यूरॉन
9,science,विटामिन C का रासायनिक नाम क्या है?,d,रेटिनॉल,कैल्सीफेरॉल,टोकोफेरॉल,एस्कॉर्बिक एसिड
10,science,मलेरिया का कारण क्या है?,b,वायरस,प्लाज्मोडियम परजीवी,बैक्टीरिया,फंगस
11,science,सबसे कठोर प्राकृतिक पदार्थ कौन सा है?,a,हीरा,ग्रेनाइट,स्टील,क्वार्ट्ज
12,science,आवर्त सारणी में तत्वों को किसके आधार पर रखा गया है?,c,द्रव्यमान,घनत्व,परमाणु क्रमांक,अणु भार
13,science,सोडियम का रासायनिक प्रतीक क्या है?,b,So,Na,Sd,Sn
14,science,मानव शरीर में सबसे बड़ी ग्रंथि कौन सी है?,a,यकृत (Liver),थायरॉइड,पिट्यूटरी,अग्न्याशय
15,science,प्रकाश संश्लेषण के लिए पौधे का कौन सा भाग जिम्मेदार है?,d,जड़,तना,फूल,पत्ती (क्लोरोफिल)
16,science,रक्त में लाल रंग किसके कारण होता है?,c,प्लाज्मा,ल्यूकोसाइट,हीमोग्लोबिन,प्लेटलेट
17,science,ध्वनि की गति वायु में लगभग कितनी होती है?,b,232 m/s,343 m/s,432 m/s,543 m/s
18,science,किस विटामिन की कमी से रतौंधी होती है?,a,विटामिन A,विटामिन B,विटामिन C,विटामिन D
19,science,प्रकाश का विभाजन कितने रंगों में होता है?,c,5,6,7,8
20,science,कौन सा रक्त समूह सर्वदाता (Universal Donor) है?,b,A,O,B,AB
21,science,जीवित प्राणियों की मूलभूत इकाई क्या है?,a,कोशिका,ऊतक,अंग,अणु
22,science,पृथ्वी का वायुमंडल मुख्यतः किस गैस से बना है?,c,ऑक्सीजन,हाइड्रोजन,नाइट्रोजन,कार्बन डाइऑक्साइड
23,science,जल का क्वथनांक (Boiling Point) क्या है?,b,90°C,100°C,110°C,120°C
24,science,मानव शरीर में सबसे लंबी हड्डी कौन सी है?,a,फीमर (जांघ),टिबिया,ह्यूमरस,रेडियस
25,science,किसकी खोज ने 'जर्म थ्योरी' को सिद्ध किया?,d,डार्विन,मेंडल,फ्लेमिंग,लुई पाश्चर
