Index,Question,Ans,a,b,c,d
1,CPU का पूरा नाम क्या है?,a,Central Processing Unit,Computer Processing Unit,Central Program Unit,Computer Program Unit
2,WWW का आविष्कार किसने किया?,b,बिल गेट्स,टिम बर्नर्स ली,स्टीव जॉब्स,लैरी पेज
3,1 GB में कितने MB होते हैं?,c,512 MB,1000 MB,1024 MB,2048 MB
4,HTML का पूरा नाम क्या है?,a,HyperText Markup Language,High Tech Markup Language,HyperText Media Language,High Transfer Markup Language
5,Binary संख्या पद्धति में किन अंकों का प्रयोग होता है?,b,0-7,0 और 1,0-9,1-9
6,Python क्या है?,c,ऑपरेटिंग सिस्टम,डेटाबेस,प्रोग्रामिंग भाषा,हार्डवेयर
7,RAM का पूरा नाम क्या है?,a,Random Access Memory,Read Access Memory,Random Available Memory,Read Available Memory
8,Email का आविष्कार किसने किया?,d,बिल गेट्स,स्टीव जॉब्स,लैरी पेज,रे टॉमलिंसन
9,कौन सा सबसे तेज स्टोरेज है?,a,SSD,HDD,CD,DVD
10,Google का मुख्यालय कहाँ है?,b,न्यूयॉर्क,माउंटेन व्यू, कैलिफोर्निया,सिएटल,शिकागो
11,JavaScript मुख्यतः किसके लिए उपयोग होती है?,c,डेटाबेस,ऑपरेटिंग सिस्टम,वेब डेवलपमेंट,नेटवर्किंग
12,VIRUS का पूरा नाम क्या है?,a,Vital Information Resources Under Siege,Volatile Information Record,Virtual Intelligent Resource,Very Important Resource Unit
13,Operating System का उदाहरण कौन सा है?,b,MS Word,Windows 11,Photoshop,Chrome
14,AI का पूरा नाम क्या है?,c,Automatic Intelligence,Advanced Intelligence,Artificial Intelligence,Applied Intelligence
15,USB का पूरा नाम क्या है?,a,Universal Serial Bus,Universal System Bus,Unified Serial Bus,Universal Standard Bus
16,Internet का पूरा नाम क्या है?,b,Internal Network,Interconnected Network,International Network,Integrated Network
17,Mouse का आविष्कार किसने किया?,c,बिल गेट्स,स्टीव जॉब्स,डग्लस एंजेलबार्ट,चार्ल्स बैबेज
18,PDF का पूरा नाम क्या है?,a,Portable Document Format,Printable Document Format,Personal Document File,Permanent Document Format
19,Excel किस कंपनी का सॉफ्टवेयर है?,b,Apple,Microsoft,Google,IBM
20,Keyboard का shortcut Ctrl+C क्या करता है?,c,Cut,Close,Copy,Create
21,ChatGPT किस कंपनी ने बनाया?,a,OpenAI,Google,Microsoft,Meta
22,Domain Name '.in' किस देश के लिए है?,b,Indonesia,India,Iran,Italy
23,First Computer का नाम क्या था?,c,IBM,Apple I,ENIAC,UNIVAC
24,Bluetooth का नाम किस राजा के नाम पर है?,a,Harald Bluetooth (Denmark),King Arthur,King George,Viking Leif
25,Python भाषा किसने बनाई?,b,Dennis Ritchie,Guido van Rossum,James Gosling,Brendan Eich
