index,subject,question,answer,a,b,c,d
1,physics,प्रकाश की गति क्या है?,b,2×10⁸ m/s,3×10⁸ m/s,4×10⁸ m/s,1×10⁸ m/s
2,physics,न्यूटन का पहला नियम किससे संबंधित है?,a,जड़त्व,संवेग,त्वरण,बल
3,physics,ध्वनि की गति सबसे अधिक किसमें होती है?,c,वायु,जल,ठोस,निर्वात
4,physics,विद्युत प्रतिरोध की SI इकाई क्या है?,a,ओम (Ω),वोल्ट (V),एम्पियर (A),वाट (W)
5,physics,पृथ्वी पर गुरुत्वीय त्वरण का मान क्या है?,b,8.9 m/s²,9.8 m/s²,10.8 m/s²,7.8 m/s²
6,physics,ओम का नियम किससे संबंधित है?,a,V = IR,F = ma,E = mc²,P = mv
7,physics,किस वैज्ञानिक ने गुरुत्वाकर्षण का नियम दिया?,b,आइंस्टीन,न्यूटन,गैलीलियो,फैराडे
8,physics,विद्युत धारा की SI इकाई क्या है?,c,वोल्ट,ओम,एम्पियर,वाट
9,physics,परावर्तन का नियम किस पर आधारित है?,a,आपतन कोण = परावर्तन कोण,आपतन कोण > परावर्तन कोण,आपतन कोण < परावर्तन कोण,कोई नियम नहीं
10,physics,E = mc² में 'c' क्या दर्शाता है?,b,आवेश,प्रकाश की गति,विशिष्ट ऊष्मा,ध्वनि की गति
11,physics,किस रंग के प्रकाश की तरंग दैर्ध्य सबसे अधिक होती है?,d,बैंगनी,नीला,पीला,लाल
12,physics,बल का SI मात्रक क्या है?,a,न्यूटन,जूल,पास्कल,वाट
13,physics,ऊर्जा संरक्षण का नियम किसने दिया?,c,न्यूटन,आइंस्टीन,हेल्महोल्ट्ज़,फैराडे
14,physics,दर्पण में प्रतिबिम्ब बनता है क्योंकि प्रकाश का:,a,परावर्तन होता है,अपवर्तन होता है,अवशोषण होता है,विवर्तन होता है
15,physics,शक्ति की SI इकाई क्या है?,b,जूल,वाट,न्यूटन,एम्पियर
16,physics,तरंग दैर्ध्य और आवृत्ति का गुणनफल क्या होता है?,c,त्वरण,आयाम,तरंग वेग,दाब
17,physics,विद्युत चुम्बकीय प्रेरण के नियम किसने दिए?,a,फैराडे,न्यूटन,ओम,वोल्ट
18,physics,प्रकाश का रंग किस पर निर्भर करता है?,b,आयाम,तरंग दैर्ध्य,वेग,तीव्रता
19,physics,न्यूटन का तीसरा नियम क्या कहता है?,a,प्रत्येक क्रिया की बराबर व विपरीत प्रतिक्रिया होती है,बल = द्रव्यमान × त्वरण,जड़त्व का नियम,ऊर्जा का संरक्षण
20,physics,ताप मापने का यंत्र क्या कहलाता है?,c,बैरोमीटर,अमीटर,थर्मामीटर,वोल्टमीटर
21,physics,वायुमंडलीय दाब मापने का यंत्र क्या है?,b,थर्मामीटर,बैरोमीटर,अमीटर,मैनोमीटर
22,physics,प्रकाश का वेग निर्वात में कितना होता है?,a,3×10⁸ m/s,3×10⁶ m/s,3×10¹⁰ m/s,3×10⁴ m/s
23,physics,किस तरंग में माध्यम की आवश्यकता नहीं होती?,d,ध्वनि तरंग,जल तरंग,भूकम्प तरंग,विद्युत चुम्बकीय तरंग
24,physics,किलोवाट-घंटा किसकी इकाई है?,b,शक्ति,विद्युत ऊर्जा,विद्युत धारा,आवेश
25,physics,अवतल दर्पण का उपयोग किसमें होता है?,a,टॉर्च व हेडलाइट,पेरिस्कोप,वाहन के पीछे देखने के दर्पण,दूरबीन
