index,subject,question,answer,a,b,c,d
1,geography,विश्व का सबसे बड़ा महाद्वीप कौन सा है?,a,एशिया,अफ्रीका,यूरोप,उत्तरी अमेरिका
2,geography,भारत का सबसे बड़ा राज्य (क्षेत्रफल) कौन सा है?,b,मध्य प्रदेश,राजस्थान,महाराष्ट्र,उत्तर प्रदेश
3,geography,विश्व का सबसे लंबा नदी कौन सी है?,a,नील नदी,अमेजन,यांग्त्जी,मिसिसिपी
4,geography,भारत की सबसे लंबी नदी कौन सी है?,c,यमुना,ब्रह्मपुत्र,गंगा,गोदावरी
5,geography,विश्व का सबसे ऊंचा पर्वत शिखर कौन सा है?,b,K2,माउंट एवरेस्ट,कंचनजंगा,मकालू
6,geography,भारत का सबसे बड़ा जिला (क्षेत्रफल) कौन सा है?,a,कच्छ (गुजरात),जैसलमेर,लेह,बाड़मेर
7,geography,सुंदरवन डेल्टा किस नदी का डेल्टा है?,c,गोदावरी,महानदी,गंगा-ब्रह्मपुत्र,कृष्णा
8,geography,भारत में सबसे अधिक वर्षा कहाँ होती है?,b,मुंबई,चेरापूंजी (मेघालय),कोलकाता,मनाली
9,geography,भारत और पाकिस्तान के बीच की रेखा को क्या कहते हैं?,a,रेडक्लिफ रेखा,डूरंड रेखा,मैकमोहन रेखा,नियंत्रण रेखा
10,geography,भारत की सबसे बड़ी मीठे पानी की झील कौन सी है?,d,डल झील,नैनीताल,लोकताक झील,वुलर झील
11,geography,कर्क रेखा भारत के कितने राज्यों से गुजरती है?,b,7,8,9,10
12,geography,विश्व का सबसे बड़ा मरुस्थल कौन सा है?,a,सहारा (अफ्रीका),अरेबियन,गोबी,थार
13,geography,भारत का सबसे दक्षिणी बिंदु कौन सा है?,c,कन्याकुमारी,रामेश्वरम,इंदिरा पॉइंट (निकोबार),पम्बन द्वीप
14,geography,ग्रेट बैरियर रीफ किस देश में है?,b,न्यूजीलैंड,ऑस्ट्रेलिया,फिजी,इंडोनेशिया
15,geography,भारत की राजधानी नई दिल्ली कौन सी नदी के किनारे है?,a,यमुना,गंगा,सरस्वती,हिंडन
16,geography,विश्व की सबसे गहरी झील कौन सी है?,c,कैस्पियन सागर,सुपीरियर झील,बैकाल झील (रूस),मृत सागर
17,geography,भारत में सबसे ज्यादा जनसंख्या वाला राज्य कौन सा है?,b,महाराष्ट्र,उत्तर प्रदेश,बिहार,पश्चिम बंगाल
18,geography,हिमालय पर्वत श्रृंखला की लंबाई लगभग कितनी है?,a,2400 किमी,3000 किमी,1800 किमी,4000 किमी
19,geography,गंगा नदी का उद्गम स्थल कौन सा है?,c,यमुनोत्री,बद्रीनाथ,गंगोत्री,केदारनाथ
20,geography,भारत का सबसे छोटा राज्य (क्षेत्रफल) कौन सा है?,b,सिक्किम,गोवा,त्रिपुरा,मेघालय
21,geography,विश्व का सबसे बड़ा द्वीप कौन सा है?,a,ग्रीनलैंड,न्यू गिनी,बोर्नियो,मेडागास्कर
22,geography,भारत की पूर्वी तट रेखा पर स्थित प्रमुख बंदरगाह कौन सा है?,c,मुंबई,कांडला,चेन्नई,कोच्चि
23,geography,थार मरुस्थल किस राज्य में है?,b,गुजरात,राजस्थान,हरियाणा,पंजाब
24,geography,भारत की सबसे बड़ी खारे पानी की झील कौन सी है?,a,चिल्का झील (ओडिशा),सांभर झील,पुलीकट झील,डीडवाना झील
25,geography,विश्व का सबसे बड़ा महासागर कौन सा है?,c,अटलांटिक,हिंद महासागर,प्रशांत महासागर,आर्कटिक
